quaternionTimestamp,quaternionX,quaternionY,quaternionZ,quaternionW,magneticFieldTimestamp,magneticFieldX,magneticFieldY,magneticFieldZ,accelerationTimestamp,accelerationX,accelerationY,accelerationZ,angularSpeedTimestamp,angularSpeedX,angularSpeedY,angularSpeedZ,insTimeStamp,insStatus,yaw,pitch,roll,latitude,longitude,altitude,nedVelX,nedVelY,nedVelZ
1508369,-0.00532040792,-0.00628700061,0.653026819,0.757290065,1508369,0.080740571,-0.229554564,0.319374949,1508369,-0.0235288497,0.173177898,-9.60840511,1508369,-0.000718278345,-6.18852209e-05,0.000803790987,1508369,32896,81.5449448,-0.147446722,-0.932208836,0,0,0,0,0,0
1558931,-0.00529714627,-0.00631134445,0.653018236,0.757297337,1558931,0.0794807896,-0.228339732,0.319335431,1558931,-0.0158518851,0.156340897,-9.63435555,1558931,0.000856300816,-0.000162491691,-0.000147923362,1558931,128,81.5436859,-0.151310414,-0.932010412,0,0,0,0,0,0
1611415,-0.00531244371,-0.00630091457,0.653027773,0.757289171,1611415,0.0794809386,-0.228340536,0.319335997,1611415,-0.00746477768,0.173474461,-9.62062645,1611415,-0.000490024919,-0.000236841384,-0.000118429307,1611415,32896,81.5451126,-0.149248928,-0.932559192,0,0,0,0,0,0
1663989,-0.00531218946,-0.00629207073,0.653030634,0.757286787,1663989,0.0795852914,-0.23085092,0.32207039,1663989,-0.0404214114,0.136571229,-9.56946754,1663989,0.00012026378,0.000679400167,-0.000389102381,1663989,128,81.5455246,-0.148497,-0.931875944,0,0,0,0,0,0
1716311,-0.00531709567,-0.00628273608,0.653014362,0.757300794,1716311,0.0818763524,-0.226995379,0.319451123,1716311,-0.0198932048,0.173675001,-9.60864258,1716311,0.000865587732,-0.00120147946,0.000183752272,1716311,32896,81.5430527,-0.147339851,-0.931599855,0,0,0,0,0,0
1768981,-0.00531123439,-0.00628120592,0.653025806,0.757291079,1768981,0.0794506967,-0.227080539,0.320728511,1768981,-0.015959423,0.157105088,-9.62642479,1768981,0.000631592935,-0.000101182726,0.000513822306,1768981,128,81.5447845,-0.147631675,-0.930978715,0,0,0,0,0,0
1821243,-0.00532357907,-0.00627613254,0.653021097,0.757295072,1821243,0.0807935372,-0.230813533,0.320745051,1821243,-0.0256657805,0.14161101,-9.59217262,1821243,-0.000641468912,-0.000970826251,0.000915036537,1821243,32896,81.5440674,-0.146273375,-0.931669533,0,0,0,0,0,0
1873706,-0.00532692485,-0.00627971767,0.653034747,0.757283211,1873706,0.0794607624,-0.228351176,0.316581756,1873706,-0.00254255603,0.168068558,-9.63276863,1873706,-0.000228367979,-0.000435328577,-0.000640750863,1873706,128,81.5461349,-0.146317288,-0.93223083,0,0,0,0,0,0
1926367,-0.00533547113,-0.00628123153,0.653026402,0.757290363,1926367,0.0783467069,-0.230905384,0.319264621,1926367,-0.0279419236,0.13791731,-9.61674118,1926367,0.000331294956,0.00121278432,0.000772793777,1926367,32896,81.5448761,-0.145819351,-0.933084249,0,0,0,0,0,0
1978654,-0.00532450993,-0.00628450979,0.653045416,0.757274032,1978654,0.0795454606,-0.229597881,0.322087198,1978654,0.021316316,0.197316229,-9.60683155,1978654,0.000333896838,0.000307403039,0.00106788194,1978654,128,81.5477524,-0.146900713,-0.932381928,0,0,0,0,0,0
2031151,-0.00532322936,-0.00627010595,0.653048158,0.757271767,2031151,0.0830531567,-0.226969421,0.313990355,2031151,-0.0521731898,0.159936652,-9.59128284,2031151,0.00130377291,-0.000161788776,0.00103897648,2031151,32896,81.5481491,-0.145743296,-0.931193471,0,0,0,0,0,0
2083673,-0.00531870266,-0.00627849065,0.653039098,0.757279515,2083673,0.0784206018,-0.232154727,0.323390752,2083673,-0.0172338411,0.176298708,-9.57589722,2083673,-0.000498280628,-9.3119801e-05,-0.000878100283,2083673,128,81.5467911,-0.146820754,-0.931426346,0,0,0,0,0,0
2136369,-0.00534613477,-0.00626912853,0.653042257,0.757276714,2136369,0.0770455375,-0.228431925,0.319237173,2136369,-0.0230498016,0.165859565,-9.57070065,2136369,0.00108492305,0.000201472547,0.000172934029,2136369,32896,81.5472565,-0.14395158,-0.933106899,0,0,0,0,0,0
2188743,-0.00533951679,-0.00628010696,0.653045893,0.757273495,2188743,0.0820125043,-0.230770916,0.320797622,2188743,-0.0478815623,0.127588332,-9.64025879,2188743,0.000305046793,-0.000638781115,0.00107095251,2188743,128,81.547821,-0.145394981,-0.933355033,0,0,0,0,0,0
2241266,-0.00534285931,-0.00627471879,0.653042793,0.757276237,2241266,0.0794929266,-0.228340909,0.320718676,2241266,-0.0463587753,0.192987919,-9.61179733,2241266,0.000677670352,0.000386893051,-0.000159394462,2241266,32896,81.547348,-0.144681111,-0.933241129,0,0,0,0,0,0
2293849,-0.00534047699,-0.00628216844,0.653031826,0.757285655,2293849,0.0794510171,-0.227082253,0.32073015,2293849,-0.0483597517,0.162190497,-9.60589027,2293849,0.000292633194,-7.22248806e-05,-0.000384430401,2293849,128,81.5457001,-0.145519331,-0.933589697,0,0,0,0,0,0
2346275,-0.00533360895,-0.006280459,0.653037906,0.757280469,2346275,0.075795956,-0.227213085,0.320576131,2346275,-0.0191111695,0.164320678,-9.62951851,2346275,0.000623828964,0.000494796783,0.00080174813,2346275,32896,81.5466156,-0.145877495,-0.93286705,0,0,0,0,0,0
2398746,-0.00535898609,-0.00627135998,0.653033376,0.757284224,2398746,0.0831788927,-0.229472727,0.319482595,2398746,-0.0187548194,0.1487993,-9.60237503,2398746,0.000200591516,0.000235341373,-0.000118901022,2398746,128,81.5459213,-0.143194363,-0.934387445,0,0,0,0,0,0
2451234,-0.00536087109,-0.00627866108,0.653003156,0.757310152,2451234,0.0795236081,-0.229602933,0.319327742,2451234,-0.0328892544,0.149784878,-9.61275959,2451234,-0.000232525636,0.000613168231,-0.000671827001,2451234,32896,81.5413589,-0.143724099,-0.935091794,0,0,0,0,0,0
2503737,-0.00534269633,-0.00628563156,0.653006434,0.75730747,2503737,0.0820125788,-0.230771095,0.32079789,2503737,-0.010318568,0.156220615,-9.67278481,2503737,0.000254098559,-0.000937201257,0.000516538508,2503737,128,81.5418625,-0.145685077,-0.934036851,0,0,0,0,0,0
2556192,-0.0053300024,-0.00628453912,0.653013766,0.757301211,2556192,0.0782943964,-0.229649425,0.317896932,2556192,-0.0397970751,0.143194944,-9.60362816,2556192,0.00103165652,-0.000538889435,-0.000915210461,2556192,49280,81.5429764,-0.146531105,-0.932854831,0,0,0,0,0,0
2608843,-0.00530869886,-0.00629468681,0.653015852,0.757299542,2608843,0.0808354616,-0.232072234,0.320734054,2608843,-0.0209412798,0.164927766,-9.57923508,2608843,0.000708898995,-0.00134547346,0.000648645218,2608843,30848,81.5432968,-0.149003431,-0.931765735,0,0,0,0,0,0
2661236,-0.00531500578,-0.00627633324,0.653009593,0.757304966,2661236,0.0832527503,-0.230722383,0.323608547,2661236,-0.0191925298,0.173053443,-9.63634014,2661236,0.00136907212,-0.000586013542,-0.00105957966,2661236,39040,81.5423355,-0.146946475,-0.930938303,0,0,0,0,0,0
